2021-02-21,AK,1561281
2021-02-21,AL,Null
2021-02-21,AR,2352972
2021-02-21,AS,Null
2021-02-21,AZ,Null
2021-02-21,CA,Null
2021-02-21,CO,Null
2021-02-21,CT,Null
2021-02-21,DC,Null
2021-02-21,DE,Null
2021-02-21,FL,16078849
2021-02-21,GA,Null
2021-02-21,GU,Null
2021-02-21,HI,Null
2021-02-21,IA,2342175
2021-02-21,ID,Null
2021-02-21,IL,Null
2021-02-21,IN,Null
2021-02-21,KS,Null
2021-02-21,KY,Null
2021-02-21,LA,Null
2021-02-21,MA,Null
2021-02-21,MD,Null
2021-02-21,ME,1492208
2021-02-21,MI,9410432
2021-02-21,MN,Null
2021-02-21,MO,3862361
2021-02-21,MP,Null
2021-02-21,MS,Null
2021-02-21,MT,Null
2021-02-21,NC,Null
2021-02-21,ND,Null
2021-02-21,NE,2081186
2021-02-21,NH,Null
2021-02-21,NJ,Null
2021-02-21,NM,Null
2021-02-21,NV,Null
2021-02-21,NY,Null
2021-02-21,OH,Null
2021-02-21,OK,2996195
2021-02-21,OR,3266406
2021-02-21,PA,Null
2021-02-21,PR,395291
2021-02-21,RI,2706898
2021-02-21,SC,4217946
2021-02-21,SD,Null
2021-02-21,TN,5933237
2021-02-21,TX,Null
2021-02-21,UT,2456796
2021-02-21,VA,Null
2021-02-21,VI,Null
2021-02-21,VT,Null
2021-02-21,WA,4757606
2021-02-21,WI,Null
2021-02-21,WV,Null
2021-02-21,WY,574121
2021-02-20,AK,1561281
2021-02-20,AL,Null
2021-02-20,AR,2350951
2021-02-20,AS,Null
2021-02-20,AZ,Null
2021-02-20,CA,Null
2021-02-20,CO,Null
2021-02-20,CT,Null
2021-02-20,DC,Null
2021-02-20,DE,Null
2021-02-20,FL,16028333
2021-02-20,GA,Null
2021-02-20,GU,Null
2021-02-20,HI,Null
2021-02-20,IA,2337743
2021-02-20,ID,Null
2021-02-20,IL,Null
2021-02-20,IN,Null
